Country,2022 SDG Index Score,2022 SDG Index Rank,International Spillovers Score (0-100),International Spillovers Rank,Region,SDG1: No Poverty,,SDG2: No Hunger,,SDG3: Good Health and Well-Being,,SDG4: Quality Education,,SDG5: Gender Equality,,SDG6: Clean Water and Sanitation,,SDG7: Affordable and Clean Energy,,SDG8: Decent Work and Economic Growth,,"SDG9: Industry, Innovation and Infrastructure",,SDG10: Reduced Inequalities,,SDG11: Sustainable Cities and Communities,,SDG12: Responsible Consumption and Production,,SDG13: Climate Action,,SDG14: Life Below Water,,SDG15: Life on Land,,"SDG16: Peace, Justice and Strong Institutions",,SDG17: Partnerships for the Goals,
"Egypt, Arab Rep.",68.7,87,98.8,30,MENA,orange,→,red,➚,red,➚,orange,➚,orange,➚,orange,↑,orange,→,red,➚,orange,➚,yellow,↑,orange,➚,yellow,↑,yellow,↑,red,→,red,➚,red,➚,orange,↓
"Iran, Islamic Rep.",68.6,88,97.6,45,MENA,yellow,➚,red,➚,red,➚,orange,,red,→,red,➚,red,→,red,➚,orange,↑,red,↓,orange,→,yellow,↑,orange,→,orange,➚,red,→,red,→,orange,➚
Mauritius,68.4,89,54.3,155,Sub-Saharan Africa,green,↑,orange,→,orange,➚,green,↑,orange,➚,orange,↑,orange,→,red,→,orange,↑,orange,,yellow,➚,red,➚,yellow,→,red,→,red,→,orange,➚,orange,➚
Bolivia,68.0,90,97.8,41,LAC,yellow,➚,orange,➚,red,→,yellow,➚,orange,➚,red,➚,orange,➚,orange,➚,red,➚,red,↑,orange,→,yellow,→,yellow,↑,grey,,red,↓,red,→,orange,↑
Paraguay,67.4,91,95.1,75,LAC,yellow,↑,orange,➚,red,→,orange,➚,orange,➚,orange,↑,yellow,➚,orange,→,orange,➚,red,→,orange,➚,orange,→,green,↑,grey,,red,→,red,→,orange,→
Nicaragua,67.1,92,96.3,64,LAC,yellow,→,red,→,red,➚,orange,,yellow,➚,red,→,orange,➚,red,→,red,➚,red,,orange,→,yellow,↑,green,↑,red,→,orange,→,red,→,orange,➚
Brunei Darussalam,67.1,93,67.3,133,East & South Asia,grey,,red,→,orange,➚,green,↑,orange,➚,red,↑,red,→,orange,➚,orange,↑,grey,,green,↑,orange,➚,red,↓,red,↓,red,→,orange,→,grey,
Qatar,66.8,94,67.7,131,MENA,grey,,red,➚,orange,➚,yellow,↑,orange,→,red,↑,red,➚,orange,↑,orange,➚,grey,,orange,→,red,↑,red,↓,red,➚,orange,↓,orange,➚,grey,
Philippines,66.6,95,97.2,55,East & South Asia,orange,➚,red,➚,red,➚,yellow,➚,orange,→,orange,↑,orange,➚,red,➚,red,➚,red,➚,orange,→,green,↑,yellow,↑,red,➚,red,→,red,➚,orange,→
Saudi Arabia,66.6,96,76.5,120,MENA,grey,,red,➚,orange,➚,orange,➚,red,➚,red,↑,orange,➚,orange,➚,orange,↑,grey,,orange,➚,orange,➚,red,➚,red,→,red,→,orange,→,orange,➚
Lebanon,66.3,97,85.2,113,MENA,green,↑,red,→,red,→,grey,,red,→,orange,➚,orange,➚,red,→,orange,➚,yellow,,red,↓,yellow,↑,orange,➚,red,→,red,➚,red,→,orange,↑
Nepal,66.2,98,98.5,33,East & South Asia,orange,➚,red,➚,red,➚,yellow,➚,orange,➚,orange,↑,red,→,orange,➚,red,➚,orange,,red,→,green,↑,green,↑,grey,,red,→,red,→,orange,➚
Turkmenistan,66.1,99,94.1,80,E. Europe & C. Asia,yellow,→,red,→,red,→,grey,,yellow,↓,red,↑,red,➚,red,→,red,→,grey,,orange,→,yellow,→,orange,➚,grey,,red,➚,red,→,red,→
Belize,65.7,100,91.0,98,LAC,red,↓,orange,→,red,➚,red,→,orange,➚,red,➚,yellow,➚,red,→,orange,➚,grey,,orange,↑,yellow,↑,yellow,↑,red,→,red,↓,red,➚,yellow,↑
Kuwait,64.5,101,60.3,150,MENA,grey,,orange,→,orange,➚,yellow,➚,orange,→,red,↑,orange,➚,red,↑,orange,➚,grey,,orange,→,red,→,red,➚,red,→,red,→,orange,→,yellow,↑
